Band,Origin,Years Active,Page Title,Summary,
,,,,,
Coheed and Cambria,Nyack,1995–present,Coheed and Cambria,"<p class=""mw-empty-elt"">
</p>
<p><b>Coheed and Cambria</b> are an American progressive rock band from Nyack, New York, formed in 1995. The band consists of Claudio Sanchez (vocals, guitars, keyboards), Travis Stever (guitars, vocals), Josh Eppard (drums, keyboards, backing vocals), and Zach Cooper (bass, backing vocals). The group's music incorporates aspects of progressive rock, pop, heavy metal, and post-hardcore.</p><p>All of Coheed and Cambria's albums except for 2015's <i>The Color Before the Sun</i> are concept albums based on a science fiction storyline called <i>The Amory Wars</i>, a series written by Claudio Sanchez, which has been transcribed into a series of comic books as well as a full-length novel. The band has released ten studio albums, three live albums, and several special-edition releases. Six of their albums have reached the Billboard Top 10. The band's tenth studio album, <i>Vaxis – Act II: A Window of the Waking Mind</i>, was released on June 24, 2022.</p>",
,,,,,
Alkaline Trio,Chicago,1996–present,Alkaline Trio,"<p class=""mw-empty-elt"">
</p>
<p><b>Alkaline Trio</b> is an American punk rock band from Chicago, Illinois. Since 2001, the band has consisted of Matt Skiba (vocals, guitar), Dan Andriano (vocals, bass) and Derek Grant (drums, vocals).
</p><p>Founded in late 1996 by Skiba, bassist Rob Doran, and drummer Glenn Porter, Alkaline Trio released its debut single, ""Sundials"", in 1997. Following its release, Doran departed from the band and was replaced by Andriano. The band subsequently recorded an EP, <i>For Your Lungs Only</i> (1998), and its debut studio album, <i>Goddamnit</i> (1998). Following the release of the band's second album, <i>Maybe I'll Catch Fire</i> (2000), Porter left the band and was replaced by Mike Felumlee for its subsequent album, <i>From Here to Infirmary</i> (2001).
</p><p>Backed by the singles ""Stupid Kid"" and ""Private Eye"", <i>From Here to Infirmary</i> significantly increased the band's exposure, and its follow-up, <i>Good Mourning</i> (2003), charted highly on the <i>Billboard</i> 200. <i>Good Mourning</i> marked the recording debut of current drummer Derek Grant. In 2005, the band released <i>Crimson</i> which expanded upon the band's punk rock influences, with prominent overdubs and additional instrumentation, and continued with this direction on <i>Agony &amp; Irony</i> (2008), which was released on Epic Records.
</p><p>In 2010, the band released <i>This Addiction</i> on its own label Heart &amp; Skull and Epitaph. Recorded in the band's home town of Chicago, with early producer Matt Allison, the album was a conscious effort by the band to return to their punk rock roots; it became the highest-charting album of their career, debuting on the <i>Billboard</i> 200 at No. 11. In 2011, the band celebrated its 15-year anniversary with the release of <i>Damnesia</i>, which featured new, acoustic-based recordings of songs from across the band's career. The band's eighth studio album, <i>My Shame Is True</i>, was released on April 2, 2013.
</p><p>Their ninth album, <i>Is This Thing Cursed?</i> was released on August 31, 2018, followed by a three track EP titled <i>E.P.</i> which was released on March 19, 2020.
</p>",
,,,,,
CocoRosie,{{hlist,2003–present,CocoRosie,"<p><b>CocoRosie</b> is an American musical group formed in 2003 by sisters Sierra Rose ""Rosie"" and Bianca Leilani ""Coco"" Casady. The group's music has been described as folktronica, freak folk and ""New Weird America"", and incorporates elements of pop, blues, opera, electronica, and hip hop. The group has released seven studio albums, <i>La Maison de Mon Rêve</i> (2004), <i>Noah's Ark</i> (2005), <i>The Adventures of Ghosthorse and Stillborn</i> (2007), <i>Grey Oceans</i> (2010), <i>Tales of a GrassWidow</i> (2013), <i>Heartache City</i> (2015), and <i>Put the Shine On</i> (2020), and two EPs, <i>Beautiful Boyz</i> (2004) and <i>Coconuts, Plenty of Junk Food</i> (2009). They released their sixth album <i>Heartache City</i> on their own record label, Lost Girl Records.</p><p>Originally a duo, the group was formed when Bianca, who was living in New York City at the time, made an impromptu visit to Sierra at her Paris apartment, reconnecting with her for the first time in ten years. The sisters began creating music together, singing over instrumentals produced using a combination of traditional instruments and found objects, most notably children's toys. They later expanded to a group and added various backing musicians, including a bassist, keyboardist, beatboxer, and synth player.</p><p>CocoRosie has performed and toured in North America, South America, and at many prominent European venues and festivals such as the Olympia, the Grand Rex, the Royal Concertgebouw, Pukkelpop, and Lowlands Festival. In 2009, music magazine Better Propaganda named CocoRosie the 16th ""most influential"" artist of the 2000s.</p>",
,,,,,
Flogging Molly,Los Angeles,1994–present,Flogging Molly,"<p class=""mw-empty-elt"">
</p>
<p><b>Flogging Molly</b> is an Irish-American seven-piece Celtic punk band formed in Los Angeles in 1995, led by Irish vocalist Dave King, formerly of the hard rock band Fastway and Katmandu. They are signed to their own record label, Borstal Beat Records.
</p>",
,,,,,
The Corrs,Dundalk,* 1990–2006,The Corrs,"<p class=""mw-empty-elt"">

</p>
<p><b>The Corrs</b> are an Irish family band that combine pop rock with traditional Irish themes within their music. The group consists of the Corr siblings, Andrea (lead vocals, tin whistle, ukulele), Sharon (violin, keyboards, vocals), Caroline (drums, percussion, piano, bodhrán, vocals) and Jim (guitar, piano, keyboards, vocals). They are from Dundalk, County Louth, Ireland.
</p><p>The Corrs have released seven studio albums and numerous singles, which have reached Platinum in many countries, and have sold 40 million albums worldwide. <i>Talk on Corners</i>, their most successful album to date, reached multi-Platinum status in Australia, and in the UK it was the highest selling album of the year. The band is one of only a handful of acts who have held the top two positions simultaneously in the UK album charts, with <i>Talk on Corners</i> at number one and <i>Forgiven, Not Forgotten</i> at number two. The latter was the year's third highest selling album in Australia. Their third studio album, <i>In Blue</i>, went to number one in seventeen countries.</p><p>The Corrs have been actively involved in philanthropic activities. They have performed in numerous charity concerts, such as The Prince's Trust event in 2004 and Live 8 in 2005. The same year, they were awarded honorary MBEs for their contributions to music and charity. The band was inactive for almost ten years because Jim and Caroline were raising families, while Andrea and Sharon were pursuing solo careers while raising families of their own. According to Sharon, it was uncertain if and when The Corrs would reunite. Rumours of a reunion sparked in early 2015 and in a radio interview with Chris Evans in June 2015, Andrea confirmed that The Corrs were working on a new album and would play the BBC Radio 2 Live in Hyde Park festival. Their sixth studio album, <i>White Light</i>, was released on 27 November 2015, and was accompanied by a European tour. After two years, their seventh studio album, <i>Jupiter Calling</i>, was released on 10 November 2017.
</p>


",
,,,,,
Tokyo Police Club,Newmarket,2005–present,Tokyo Police Club,"<p><b>Tokyo Police Club</b> is an indie rock band from Newmarket, Ontario, Canada. Founded in 2005, it consists of vocalist and bassist Dave Monks, keyboardist Graham Wright, guitarist Josh Hook, and drummer Greg Alsop. The band found early success with their 2006 debut EP <i>A Lesson in Crime,</i> which they followed with several popular releases including the albums <i>Elephant Shell</i> and <i>Champ</i> in 2008 and 2010, respectively. During the 2010s, they released three other studio albums. Among other nominations, the band has been twice nominated for the Juno Award for Alternative Album of the Year, in 2011 for <i>Champ</i> and in 2019 for <i>TPC</i>.
</p>",
,,,,,
The Coral,Hoylake,1996–present,The Coral,"<p class=""mw-empty-elt"">

</p>
<p><b>The Coral</b> are an English rock band, formed in 1996 in Hoylake on the Wirral Peninsula, Merseyside. The band emerged during the early 2000s. Their 2002 debut album <i>The Coral</i>, from which came the single ""Dreaming of You"", was nominated for the Mercury Music Prize and listed as the fourth best album of the year by <i>NME</i>. Their second album, <i>Magic and Medicine</i> (2003), produced four UK Top 20 singles, including  ""Pass It On"". In 2008, after guitarist Bill Ryder-Jones left the band, they continued as a five-piece.
</p>",
,,,,,
Alter Bridge,Orlando,2004–present,Alter Bridge,"<p class=""mw-empty-elt"">
</p>
<p><b>Alter Bridge</b> is an American rock band from Orlando, Florida. The band was formed in 2004 by vocalist and rhythm guitarist Myles Kennedy, lead guitarist Mark Tremonti, bassist Brian Marshall and drummer Scott Phillips. After their former band Creed became inactive in 2003, Tremonti and Phillips formed a new band with former bandmate Marshall and new member Kennedy; Alter Bridge was formally unveiled in January 2004, months before Creed's official breakup in June.
</p><p>After signing with Wind-up Records, Alter Bridge released their debut album <i>One Day Remains</i> in August 2004, much of which was written by Tremonti the previous year. The album reached No. 5 on the U.S. <i>Billboard</i> 200 and, received mixed reviews, and was certified gold by the Recording Industry Association of America in November 2004. This was followed in 2007 by the more positively-reviewed <i>Blackbird</i>, which marked the beginning of a long partnership between the band and producer Michael Baskette. The album reached No. 13 in the U.S. and was certified silver by the British Phonographic Industry.
</p><p>Following continued activities with the members' other bands and side projects, Alter Bridge released <i>AB III</i> in 2010. It received critical acclaim and commercial success on Roadrunner Records, with its lead single ""Isolation"" topping the <i>Billboard</i> Mainstream Rock chart. Alter Bridge released <i>Fortress</i> to further acclaim in 2013, as the band's members continued splitting their time between various projects. <i>The Last Hero</i> followed on Napalm Records in 2016, becoming the band's first album since its debut to reach the top ten of the <i>Billboard</i> 200, and its first to reach the top five of the UK Albums Chart. Their sixth studio album, <i>Walk the Sky</i>, was released in 2019, and was followed by <i>Walk the Sky 2.0</i> in 2020. The band's seventh album <i>Pawns &amp; Kings</i> was released on October 14, 2022.
</p><p>As of 2023 Alter Bridge has sold over 5 million records worldwide.</p>",
,,,,,
Mastodon,Atlanta,2000–present,Mastodon (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Mastodon</b> is an American heavy metal band from Atlanta, Georgia. Formed in 2000, the band's lineup of Troy Sanders (bass/vocals), Brent Hinds (lead guitar/vocals), Bill Kelliher (rhythm guitar/backing vocals) and Brann Dailor (drums/vocals) has remained the same since 2001. 
Mastodon has released eight studio albums, as well as a number of other releases. The band's 2002 debut album, <i>Remission</i>, garnered significant critical acclaim for its unique sound. Mastodon's second full-length release, <i>Leviathan</i>, is a concept album based on the novel <i>Moby-Dick</i> by Herman Melville. Three magazines awarded the record ""Album of the Year"" in 2004: <i>Revolver</i>, <i>Kerrang!</i> and <i>Terrorizer</i>.
</p><p>The song ""Colony of Birchmen"" from the band's third album (released in 2006), <i>Blood Mountain</i>, was nominated for a Grammy Award for Best Metal Performance in 2007. <i>Blood Mountain</i> was followed in 2009 by <i>Crack the Skye</i>, and in 2011 by <i>The Hunter</i>, which debuted at No. 10 on the <i>Billboard</i> 200 chart and achieved major commercial success in the United States. <i>The Hunter</i> features the song ""Curl of the Burl"", which was nominated for a Grammy for Best Hard Rock/Metal Performance in 2012. Mastodon's 2014 album, <i>Once More 'Round the Sun</i>, peaked at No. 6 on the <i>Billboard</i> 200 chart and features the band's third Grammy-nominated song, ""High Road"". The band's seventh album, <i>Emperor of Sand,</i> was released on March 31, 2017, and features the band's most commercially successful song to date, ""Show Yourself"", which peaked at No. 4 on the US <i>Billboard</i> Mainstream Rock Songs chart in June 2017. The follow-up single, ""Steambreather"", peaked at No. 18 on the same chart in October 2017. The album's opening track, ""Sultan's Curse"", earned the band its first Grammy award. <i>Emperor of Sand</i> was the band's first album to receive a Grammy nomination; it was nominated for Best Rock Album. Mastodon's eighth album, <i>Hushed and Grim</i>, was released on October 29, 2021.
</p>",
,,,,,
hellogoodbye,Huntington Beach,2001–present,Hellogoodbye,"<p><b>Hellogoodbye</b> (sometimes styled as <b>hellogoodbye</b>) is an American pop rock band that was formed in Huntington Beach, California in 2001 by singer Forrest Kline. They were signed to Drive-Thru Records and released their first full-length album <i>Zombies! Aliens! Vampires! Dinosaurs!</i> in 2006, having previously released the EP <i>Hellogoodbye</i> in 2004, and DVD <i>OMG HGB DVD ROTFL</i> in 2005. In 2010, the band released <i>Would It Kill You?</i> on their label Wasted Summer Records. The album was released in the United Kingdom and Europe by LAB Records on March 14, 2011. Hellogoodbye released their third album, <i>Everything Is Debatable</i>, on October 29, 2013, while touring as the opening act for Paramore's The Self-Titled Tour. Their fourth album, <i>S'Only Natural</i>, was released on October 5, 2018.
</p>",
,,,,,
Wolf Parade,Montreal,"2003&ndash;2011, 2016–present",Wolf Parade,"<p><b>Wolf Parade</b> is a Canadian indie rock band formed in 2003 in Montreal. The band released three full-length albums before taking a five-year hiatus in 2011. They announced their return in 2016, releasing a self-titled EP in May of that year, and a fourth studio album, <i>Cry Cry Cry</i>, in October 2017. Their fifth studio album, <i>Thin Mind</i>, was released on January 24, 2020.
</p>",
,,,,,
Built to Spill,Boise,1992–present,Built to Spill,"<p><b>Built to Spill</b> is an American indie rock band that formed in Boise, Idaho, in 1992. Centered around lead vocalist and guitarist Doug Martsch, the only permanent member, Built to Spill has released nine full-length albums since its inception.
</p><p>Martsch originally envisioned the band to feature a changing set of backing musicians for each album, but eventually settled with a stable lineup for over a decade before returning to his original plan in 2012. Having received consistent critical acclaim throughout their career, three of the band's albums — <i>There's Nothing Wrong with Love, Perfect from Now On</i> and <i>Keep It Like a Secret —</i> placed in the top 50 of <i>Pitchfork</i>'s Top 100 Albums of the 1990s list. <i>Keep It Like a Secret</i> was the band's first album to chart on the Billboard 200 in the United States, while their 2009 release <i>There Is No Enemy</i> became Built to Spill's highest-charting album of their career.
</p>",
,,,,,
Little Dragon,Gothenburg,1996–present,Little Dragon,"<p class=""mw-empty-elt"">

</p>
<p><b>Little Dragon</b> are a Swedish electronic music band from Gothenburg, Sweden, formed in 1996. The band consists of Yukimi Nagano (vocals, percussion), Erik Bodin (drums), Fredrik Wallin (bass) and Håkan Wirenstrand (keyboards).
</p><p>Little Dragon's first release was the double A-side seven-inch vinyl single ""Twice""/""Test"", released on the Off the Wall label in 2006. The following year, the band signed with the larger British independent label Peacefrog Records and released their eponymous debut album in August 2007. Their second album, <i>Machine Dreams</i>, was released in August 2009, and gathered favourable reviews. The third album, <i>Ritual Union</i>, was released in July 2011 and was ranked at number 41 on <i>Rolling Stone</i> list of the 50 Best Albums of 2011. <i>Clash</i> placed it at number 31 on its list of The Top 40 Albums of 2011.</p><p>The band's fourth studio album, <i>Nabuma Rubberband</i>, was released in May 2014 by Because Music and was met with critical acclaim. It received a nomination for Best Dance/Electronic Album at the 57th Annual Grammy Awards. The band's fifth studio album, <i>Season High</i>, was released on 14 April 2017. <i>New Me, Same Us</i>, the band's sixth studio album, was released on 27 March 2020.</p>",
,,,,,
The Wallflowers,Los Angeles,1989–present,The Wallflowers,"<p class=""mw-empty-elt"">

</p>
<p><b>The Wallflowers</b> is an American rock solo project of American singer-songwriter and multi-instrumentalist Jakob Dylan. The Wallflowers were originally a roots rock band formed in Los Angeles in 1989 by Dylan and guitarist Tobi Miller. The band has gone through a number of personnel changes but has remained centered on Dylan. Members of The Wallflowers have gone on to be in the Foo Fighters, Ozomatli, and Gogol Bordello. Two former members have been inducted into the Rock and Roll Hall of Fame.</p><p>Following their eponymous debut album in 1992, the Wallflowers released what would become their best-known and highest-selling album, <i>Bringing Down the Horse</i> (1996), which included the hit songs ""One Headlight,"" ""6th Avenue Heartache,"" ""The Difference,"" and ""Three Marlenas."" Their next album, <i>(Breach)</i> (2000), contained ""Sleepwalker"", their first and only single to reach the <i>Billboard</i> Hot 100 (at number 76). (""One Headlight"" was not released as a single in the U.S.) The group released an additional two critically acclaimed albums before going on hiatus. In 2012, the Wallflowers reunited to release their sixth studio album, <i>Glad All Over</i>. Nearly ten years later they released their seventh studio album, <i>Exit Wounds</i> (2021),  which peaked on <i>Billboard’s</i> Top Album Sales chart at No. 3, making it the band’s highest-charting album yet. The Wallflowers have sold over five million albums.<i> </i>
</p><p>The Wallflowers have won two Grammy Awards: Best Rock Performance by a Duo or Group with Vocal and Best Rock Song for ""One Headlight"" in 1998. ""One Headlight"" is also listed at #58 in <i>Rolling Stone</i><span>'</span>s list of the <i>100 Greatest Pop Songs</i>. The Wallflowers have been nominated six times for ""Best Rock Song"" and ""Best Rock Performance."" Billboard named ""One Headlight"" as the #1 Greatest of All Time Adult Alternative Song. As of 2022, the band has three 'No. 1' hits and has thirteen songs that have reached the 'Top 10' on Billboard's Adult Alternative Airplay list.</p>",
,,,,,
Erik Satie,,,Erik Satie,"<p class=""mw-empty-elt"">

</p>

<p><b>Eric Alfred Leslie Satie</b> (<span><small>UK: </small></span>, <span><small>US: </small></span>; <small>French: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[eʁik sati]</span>; 17 May 1866 – 1 July 1925), who signed his name <b>Erik Satie</b> after 1884, was a French composer and pianist. He was the son of a French father and a British mother. He studied at the Paris Conservatoire, but was an undistinguished student and obtained no diploma. In the 1880s he worked as a pianist in café-cabaret in Montmartre, Paris, and began composing works, mostly for solo piano, such as his <i>Gymnopédies</i> and <i>Gnossiennes</i>. He also wrote music for a Rosicrucian sect to which he was briefly attached.
</p><p>After a spell in which he composed little, Satie entered Paris's second music academy, the Schola Cantorum, as a mature student. His studies there were more successful than those at the Conservatoire. From about 1910 he became the focus of successive groups of young composers attracted by his unconventionality and originality. Among them were the group known as Les Six. A meeting with Jean Cocteau in 1915 led to the creation of the ballet <i>Parade</i> (1917) for Serge Diaghilev, with music by Satie, sets and costumes by Pablo Picasso, and choreography by Léonide Massine.
</p><p>Satie's example guided a new generation of French composers away from post-Wagnerian impressionism towards a sparer, terser style. Among those influenced by him during his lifetime were Maurice Ravel and Francis Poulenc, and he is seen as an influence on more recent, minimalist composers such as John Cage and John Adams. His harmony is often characterised by unresolved chords, he sometimes dispensed with bar-lines, as in his <i>Gnossiennes</i>, and his melodies are generally simple and often reflect his love of old church music. He gave some of his later works absurd titles, such as <i>Veritables Preludes flasques (pour un chien)</i> (""True Flabby Preludes (for a Dog)"", 1912), <i>Croquis et agaceries d'un gros bonhomme en bois</i> (""Sketches and Exasperations of a Big Wooden Man"", 1913) and <i>Sonatine bureaucratique</i> (""Bureaucratic Sonatina"", 1917). Most of his works are brief, and the majority are for solo piano. Exceptions include his ""symphonic drama"" <i>Socrate</i> (1919) and two late ballets <i>Mercure</i> and <i>Relâche</i> (1924).
</p><p>Satie never married, and his home for most of his adult life was a single small room, first in Montmartre and, from 1898 to his death, in Arcueil, a suburb of Paris. He adopted various images over the years, including a period in quasi-priestly dress, another in which he always wore identically coloured velvet suits, and is known for his last persona, in neat bourgeois costume, with bowler hat, wing collar, and umbrella. He was a lifelong heavy drinker, and died of cirrhosis of the liver at the age of 59.
</p>",
,,,,,
All That Remains,Springfield,1998–present,All That Remains (band),"<p class=""mw-empty-elt"">
</p>
<p><b>All That Remains</b> is an American metalcore band from Springfield, Massachusetts, formed in 1998. They have released nine studio albums, a live CD and DVD, and have sold over a million records worldwide. The group currently consists of vocalist Philip Labonte, rhythm guitarist Mike Martin, former Diecast drummer Jason Costa, and lead guitarist Jason Richardson, with Labonte being the last remaining original member. In spite of this, the band's line-up had remained consistent from the release of 2008's <i>Overcome</i> until 2015's <i>The Order of Things</i>, spanning four albums. This line-up changed, however, in September 2015, when long-time bassist Jeanne Sagan left the band, with Patrick taking her place, and then again in February 2019, when the band confirmed that Jason Richardson would be joining the band to replace the deceased lead guitarist and original member, Oli Herbert. In 2021, Aaron Patrick parted ways with All That Remains to focus on his other band, Bury Your Dead. 
</p>


",
,,,,,
Orbital,Otford,1989–2004|2009–2014|,Orbital (band),"<p class=""mw-empty-elt"">

</p>

<p><b>Orbital</b> are an English electronic music duo from Otford, Kent, England, consisting of brothers Phil and Paul Hartnoll. The band's name is taken from Greater London's orbital motorway, the M25, which was central to the early rave scene during the early days of acid house. Additionally, the cover art on three of their albums showcase stylised atomic orbitals. Orbital have been critically and commercially successful, known particularly for their live improvisation during shows. They were initially influenced by early electro and punk rock.
</p>


",
,,,,,
Suede,London,1989–2003|2010–present,Suede (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Suede</b> (also known in the US as <b>The London Suede</b>) are an English rock band formed in London in 1989 by singer Brett Anderson, guitarist Justine Frischmann, and bass player Mat Osman. Drawing inspiration from glam rock and post-punk, Suede were dubbed ""The Best New Band in Britain"" by <i>Melody Maker</i> in 1992, and attracted much attention from the British music press. The following year their debut album <i>Suede</i> went to the top of the UK Albums Chart, becoming the fastest-selling debut album in almost ten years. It won the Mercury Music Prize and helped foster 'Britpop' as a musical movement, though the band distanced themselves from the term. 
</p><p>The recording sessions for their second album, <i>Dog Man Star</i>, were fraught with difficulty and ended with guitarist and composer Bernard Butler departing after confrontations with the other members. Guitarist and composer Richard Oakes replaced him and joined the band right before the accompanying tour. Although a commercial disappointment at the time, the album was met with a generally enthusiastic reception on release and has over time been lauded as one of rock music's great albums. In 1994, Suede would become a component of the Britpop ""big four"", along with Oasis, Blur and Pulp.</p><p>In 1996, following the recruitment of keyboard player Neil Codling, Suede went on to greater commercial success with <i>Coming Up</i>. The album reached number one in the UK, producing five top ten singles and becoming Suede's biggest-selling album worldwide. Despite problems within the band, Suede's fourth album, <i>Head Music</i> (1999), was a British chart-topper. The album was promoted heavily with the band receiving considerable press coverage on its release, however the response from fans and critics was less enthusiastic than for previous records. Codling left the band in 2001, citing chronic fatigue syndrome, and was replaced by Alex Lee. The band's fifth album, <i>A New Morning</i> (2002), the first following the collapse of Nude Records, was a commercial and critical disappointment, and the band disbanded the following year. In 2004, Anderson briefly reunited with Butler to form The Tears, before embarking on a solo career two years later.
</p><p>After much speculation Suede reformed in 2010 for a series of concerts. Three years on from their reunion gigs, Suede released their sixth album, <i>Bloodsports</i>. It was well received by critics and returned the band to the top ten in the UK. Their seventh album, <i>Night Thoughts</i>, followed in 2016 and became an even bigger critical and commercial success than its predecessor. Their eighth studio album, <i>The Blue Hour</i>, was released in September 2018. It became the group's first top five record since <i>Head Music</i>. Their ninth and most recent studio album, <i>Autofiction</i>, was released in September 2022.
</p>

",
,,,,,
Blonde Redhead,New York City,1993–present,Blonde Redhead,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Blonde Redhead</b> is an American alternative rock  band composed of Kazu Makino (vocals, keys/rhythm guitar) and twin brothers Simone and Amedeo Pace (drums/keys and lead guitar/bass/keys/vocals, respectively) that formed in New York City in 1993. The band's earliest albums were noted for their noise rock influences, though their sound evolved by the early 2000s with the releases of <i>Misery is a Butterfly</i> (2004) and <i>23</i> (2007), which both incorporated elements of dream pop, shoegaze and other genres. They have released nine regular studio albums and have toured internationally.
</p>",
,,,,,
The Jam,Woking,1972–1982,The Jam,"<p class=""mw-empty-elt"">

</p>
<p><b>The Jam</b> were  an English mod revival/punk rock band formed in 1972 at Sheerwater Secondary School in Woking, Surrey. They released 18 consecutive Top 40 singles in the United Kingdom, from their debut in 1977 to their break-up in December 1982, including four number one hits. As of 2007, ""That's Entertainment"" and ""Just Who Is the 5 O'Clock Hero?"" remain the best-selling import singles of all time in the UK. They released one live album and six studio albums, the last of which, <i>The Gift</i>, reached number one on the UK Albums Chart. When the group disbanded in 1982, their first 15 singles were re-released and all placed within the top 100.</p><p>While the Jam shared the ""angry young man"" outlook and fast tempo of the mid-1970s British punk rock movement, in contrast with it the band wore smartly tailored suits reminiscent of English pop-bands in the early 1960s and incorporated mainstream 1960s rock and R&amp;B influences into its sound, particularly from the Who's work of that period and also drew influence from the work of the Kinks and the music of American Motown. This placed the act at the forefront of the 1970s–1980s nascent Mod Revival movement. With many of the band's lyrics about working class life, Jam biographer Sean Egan commented that they ""took social protest and cultural authenticity to the top of the charts.""</p><p>The band drew upon a variety of stylistic influences over the course of their career, including 1960s beat music, soul, rhythm and blues and psychedelic rock, as well as 1970s punk and new wave. The trio were known for their melodic pop songs, their distinctly English flavour and their mod image. The band launched the career of Paul Weller, who went on to form the Style Council and later his solo career. Weller wrote and sang most of the Jam's original compositions and played lead guitar, using a Rickenbacker 330. Bruce Foxton provided backing vocals and prominent basslines, which were the foundation of many of the band's songs, including the hits ""Down in the Tube Station at Midnight"", ""The Eton Rifles"", ""Going Underground"" and ""Town Called Malice"" mainly using a Rickenbacker 4001 or a Fender Precision Bass, as well as, on rare occasions, an Epiphone Rivoli.
</p>",
,,,,,
Dinosaur Jr.,Amherst,1984–1997|2005–present,Dinosaur Jr.,"<p class=""mw-empty-elt"">
</p>
<p><b>Dinosaur Jr.</b> is an American rock band formed in Amherst, Massachusetts, in 1984, originally simply called <b>Dinosaur</b> until legal issues forced a change in name.
</p><p>The band was founded by J Mascis (guitar, vocals, primary songwriter), Lou Barlow (bass, vocals), and Murph (drums). After three albums on independent labels, the band earned a reputation as one of the formative influences on American alternative rock. Creative tension led to Mascis firing Barlow, who later formed Sebadoh and Folk Implosion. His replacement, Mike Johnson, came aboard for three major-label albums. Murph eventually quit, with Mascis taking over drum duties on the band's albums before the group disbanded in 1997. The original lineup reformed in 2005, releasing five albums thereafter.</p><p>Mascis's drawling vocals and distinct guitar sound, hearkening back to 1960s and 1970s classic rock and characterized by extensive use of feedback and distortion, were highly influential in the alternative rock movement of the 1990s.</p>


",
,,,,,
Derek and the Dominos,London,1970–1971,Derek and the Dominos,"<p class=""mw-empty-elt"">

</p>
<p><b>Derek and the Dominos</b> was a short-lived English–American blues rock band formed in the spring of 1970 by guitarist and singer Eric Clapton, keyboardist and singer Bobby Whitlock, bassist Carl Radle and drummer Jim Gordon. All four members had previously played together in Delaney &amp; Bonnie and Friends, during and after Clapton's brief tenure with Blind Faith. Dave Mason supplied additional lead guitar on early studio sessions and played at their first live gig. Another participant at their first session as a band was George Harrison, the recording for whose album <i>All Things Must Pass</i> marked the formation of Derek and the Dominos.
</p><p>The band released only one studio album, <i>Layla and Other Assorted Love Songs</i>, produced by Tom Dowd, which also featured extensive contributions on lead and slide guitar from Duane Allman. A double album, <i>Layla</i> did not immediately enjoy strong sales or receive widespread radio airplay, but went on to earn critical acclaim. Although released in 1970 it was not until March 1972 that the album's single ""Layla"" (a tale of unrequited love inspired by Clapton's infatuation with his friend George Harrison's wife, Pattie Boyd) made the top ten in both the United States and the United Kingdom. The album is often considered to be the defining achievement of Clapton's career.</p>",
,,,,,
Erasure,London,1985–present,Erasure,"<p class=""mw-empty-elt"">

</p>
<p><b>Erasure</b> (<span></span>) is an English synth-pop duo formed in London in 1985, consisting of lead vocalist and songwriter Andy Bell with songwriter, producer and keyboardist Vince Clarke, previously known as co-founder of the band Depeche Mode and a member of synth-pop duo Yazoo. From their fourth single, ""Sometimes"" (1986), Erasure established themselves on the UK Singles Chart, becoming one of the most successful acts of the mid-1980s to the mid-1990s. From 1986 to 2007, the pair achieved 24 consecutive top-40 entries in the UK singles chart. By 2009, 34 of their 37 chart-eligible singles and EPs had made the UK top 40, including 17 climbing into the top 10. At the 1989 Brit Awards, Erasure won the Brit Award for Best British Group. Beyond this mainstream commercial success, Erasure are also popular within the LGBT community, for whom the openly gay singer Andy Bell has become an icon in the UK.</p>


",
,,,,,
Chromeo,Montreal,2002–present,Chromeo,"<p><b>Chromeo</b> is a Canadian electro-funk duo from Montreal, formed in 2002 by musicians David ""Dave 1"" Macklovitch and Patrick ""P-Thugg"" Gemayel. Their sound draws from blue-eyed soul, dance music, rock, synth-pop, disco and funk.</p><p>As of 2021, the band has released five studio albums, with three of them hitting the Billboard 200 charts. In 2018, Chromeo received their first Grammy Award nomination for Best Engineered Album, Non-Classical in the 61st Grammy Awards for their album <i>Head over Heels</i>.</p>",
,,,,,
Goldfinger,Los Angeles,1994–present,Goldfinger (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Goldfinger</b> is an American punk rock and ska punk band from Los Angeles, California, formed in 1994. In their early years the band was considered a contributor to the movement of third-wave ska, a mid-1990s revitalization in the popularity of ska.  However, the releases of <i>Open Your Eyes</i> and <i>Disconnection Notice</i> saw the band shed most of the ska influence, and they have been more commonly placed in the punk rock genre in later years.
</p>",
,,,,,
