Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
,,,,,,,
Beyoncé,,1981|9|4,Houston,1997–present,Vocals,Beyoncé,"<p class=""mw-empty-elt"">


</p>
<p><b>Beyoncé Giselle Knowles-Carter</b> (<span> <span></span></span> <i title=""English pronunciation respelling"">bee-<span>ON</span>-say</i>; born September 4, 1981) is an American singer, songwriter, actress, and dancer. Beyoncé’s boundary-pushing artistry and vocal prowess have made her the greatest pop star of the 21st century, according to <i>Billboard</i>. Her success has made her a cultural icon and earned her the nickname ""Queen Bey"".</p><p>Beyoncé performed in various singing and dancing competitions as a child. She rose to fame in the late 1990s as a member of the R&amp;B girl group Destiny's Child, one of the best-selling girl groups of all time. Their hiatus saw the release of her debut album <i>Dangerously in Love</i> (2003), which featured the US <i>Billboard</i> Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"". Following the 2006 disbanding of Destiny's Child, Beyoncé released her second solo album, <i>B'Day</i>, which contained singles ""Irreplaceable"" and ""Beautiful Liar"". Beyoncé also starred in multiple films such as <i>Austin Powers in Goldmember</i> (2002), <i>The Pink Panther</i> (2006), <i>Dreamgirls</i> (2006), <i>Obsessed</i> (2009), and <i>The Lion King</i> (2019). Her marriage to Jay-Z and her portrayal of Etta James in <i>Cadillac Records</i> (2008) influenced her third album, <i>I Am... Sasha Fierce</i> (2008), which earned a record-setting six Grammy Awards in 2010. It spawned the successful singles ""If I Were a Boy"", ""Single Ladies"", and ""Halo"". After professionally splitting from her manager and father Mathew Knowles in 2010, she released her musically diverse fourth album <i>4</i> in 2011.
</p><p>Beyoncé later achieved critical acclaim for her sonically experimental visual albums, <i>Beyoncé</i> (2013) and <i>Lemonade</i> (2016), the latter of which was the world's best-selling album of 2016 and the most acclaimed album of her career, exploring themes of infidelity, feminism, and womanism. In 2018, she released <i>Everything Is Love</i>, a collaborative album with her husband, Jay-Z, as the Carters. As a featured artist, Beyoncé topped the <i>Billboard</i> Hot 100 with the remixes of ""Perfect"" by Ed Sheeran in 2017 and ""Savage"" by Megan Thee Stallion in 2020. The same year, she released the musical film <i>Black Is King</i> with an accompanying visual album, with praise from critics. In 2022, Beyoncé received further critical acclaim for her seventh studio album <i>Renaissance</i>, which experimented with disco and house music and paid homage to LGBTQ+ ball culture. She obtained her first solo number-one since 2008 with the album's lead single, ""Break My Soul"", with <i>Renaissance</i> being her first solo studio album since 2016.
</p><p>She is one of the world's best-selling recording artists, having sold over 200 million records worldwide. Her success during the 2000s was recognized with the Recording Industry Association of America (RIAA)'s Top Certified Artist of the Decade as well as <i>Billboard</i><span>'s</span> Top Female Artist of the Decade. She is the first solo artist to have their first seven studio albums debut at number one on the <i>Billboard</i> 200. Beyoncé's accolades include 32 Grammy Awards (the most of any person), 26 MTV Video Music Awards (including the Michael Jackson Video Vanguard Award in 2014), 24 NAACP Image Awards, 31 BET Awards, and 17 Soul Train Music Awards, all of which are more than any other singer. In 2014, <i>Billboard</i> named her the highest-earning black musician of all time, while in 2020, she was included on <i>Time</i><span>'</span>s list of 100 women who defined the last century.</p>


"
,,,,,,,
Michael Jackson,Michael Joseph Jackson,1958|8|29,Gary,1964–2009,,Michael Jackson,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">



</p>
<p><b>Michael Joseph Jackson</b> (August 29, 1958 – June 25, 2009) was an American singer, songwriter, dancer, and philanthropist. Dubbed the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century. Over a four-decade career, his contributions to music, dance, and fashion, along with his publicized personal life, made him a global figure in popular culture. Jackson influenced artists across many music genres; through stage and video performances, he popularized complicated dance moves such as the moonwalk, to which he gave the name, as well as the robot. He is the most awarded recording artist in pop music history.</p><p>The eighth child of the Jackson family, Jackson made his public debut in 1964 with his older brothers Jackie, Tito, Jermaine, and Marlon as a member of the Jackson 5 (later known as the Jacksons). Jackson began his solo career in 1971 while at Motown Records. He became a solo star with his 1979 album <i>Off the Wall</i>. His music videos, including those for ""Beat It"", ""Billie Jean"", and ""Thriller"" from his 1982 album <i>Thriller</i>, are credited with breaking racial barriers and transforming the medium into an artform and promotional tool. He helped propel the success of MTV and continued to innovate with videos for the albums <i>Bad</i> (1987), <i>Dangerous</i> (1991), <i>HIStory: Past, Present and Future, Book I</i> (1995), and <i>Invincible</i> (2001). <i>Thriller</i> became the best-selling album of all time, while <i>Bad</i> was the first album to produce five US <i>Billboard</i> Hot 100 number-one singles.</p><p>From the late 1980s, Jackson became a figure of controversy and speculation due to his changing appearance, relationships, behavior, and lifestyle. In 1993, he was accused of sexually abusing the child of a family friend. The lawsuit was settled out of civil court; Jackson was not indicted due to lack of evidence. In 2005, he was tried and acquitted of further child sexual abuse allegations and several other charges. The FBI found no evidence of criminal conduct by Jackson in either case. In 2009, while he was preparing for a series of comeback concerts, This Is It, Jackson died from an overdose of propofol administered by his personal physician, Conrad Murray, who was convicted in 2011 of involuntary manslaughter. His death triggered reactions around the world, creating unprecedented surges of Internet traffic and a spike in sales of his music. A televised memorial service for Jackson, held at the Staples Center in Los Angeles, was viewed by an estimated over 2.5 billion people globally.
</p><p>Jackson is one of the best-selling music artists of all time, with estimated sales of over 400<span> </span>million records worldwide. He had 13 <i>Billboard</i> Hot 100 number-one singles (third highest of any artist in the Hot 100 era) and was the first artist to have a top-ten single in the <i>Billboard</i> Hot 100 in five different decades. He is regarded by the RIAA as the highest-selling individual music artist of all time worldwide. His honors include 15 Grammy Awards, 6 Brit Awards, a Golden Globe Award, and 39 Guinness World Records, including the ""Most Successful Entertainer of All Time"". Jackson's inductions include the Rock and Roll Hall of Fame (twice), the Vocal Group Hall of Fame, the Songwriters Hall of Fame, the Dance Hall of Fame (the only recording artist to be inducted), and the Rhythm and Blues Music Hall of Fame.
</p>"
,,,,,,,
Drake,Aubrey Drake Graham,1986|10|24,Toronto,2001–present,,Drake (musician),"<p class=""mw-empty-elt"">


</p>
<p><b>Aubrey Drake Graham</b> (<span></span> <i title=""English pronunciation respelling"">aw-<span>BREE</span></i>; born October 24, 1986) is a Canadian rapper, singer and actor. An influential figure in contemporary popular music, Drake has been credited for further popularizing singing and R&amp;B sensibilities in hip hop. Gaining recognition by starring as Jimmy Brooks in the CTV teen drama series <i>Degrassi: The Next Generation</i> (2001–08), Drake pursued a career in music releasing his debut mixtape <i>Room for Improvement</i> in 2006. He followed this with the mixtapes <i>Comeback Season</i> (2007) and <i>So Far Gone</i> (2009) before signing with Young Money Entertainment.</p><p>Drake's first three albums, <i>Thank Me Later</i> (2010), <i>Take Care</i> (2011) and <i>Nothing Was the Same</i> (2013), were all critical successes and propelled him to the forefront of hip hop. His fourth album, <i>Views</i> (2016), saw exploration of dancehall and stood atop the <i>Billboard</i> 200 for 13 non-consecutive weeks, making it the first album by a male artist to do so in over a decade, and featured the chart record-setting lead single ""One Dance"". In 2018, Drake released the double album <i>Scorpion</i>, which contained the <i>Billboard</i> Hot 100 number-one singles ""God's Plan"", ""Nice for What"", and ""In My Feelings"". Drake's widely anticipated sixth album, <i>Certified Lover Boy</i> (2021), achieved nine top 10 hits on the Hot 100, setting the then-record for most US top-ten hits from one album, with its lead single ""Way 2 Sexy"" reaching number one. In 2022, Drake released the house-inspired album <i>Honestly, Nevermind</i> and the collaborative album, <i>Her Loss</i>, with 21 Savage. Known for frequent accompanying releases to his albums, Drake achieved critical and commercial success with the mixtapes <i>If You're Reading This It's Too Late</i> (2015) and <i>More Life</i> (2017).
</p><p>As an entrepreneur, Drake founded the OVO Sound record label with longtime collaborator 40 in 2012. In 2013, Drake became the ""global ambassador"" of the Toronto Raptors, joining their executive committee and later obtaining naming rights to their practice facility. In 2016, he began collaborating with Brent Hocking on the bourbon whiskey Virginia Black. Drake heads the OVO fashion label and the Nocta collaboration with Nike, and founded the production company DreamCrew and the fragrance house Better World. In 2018, Drake was reportedly responsible for 5 percent (CAD$440 million) of Toronto's CAD$8.8 billion annual tourism income. In 2022, he became a part owner of Italian football club A.C. Milan.
</p><p>Among the world's best-selling music artists, with over 170 million records sold, Drake is ranked as the highest-certified digital singles artist in the United States by the RIAA. He has won five Grammy Awards, six American Music Awards, a record 34 <i>Billboard</i> Music Awards, two Brit Awards, and three Juno Awards. Drake has achieved 11 number-one hits on the <i>Billboard</i> Hot 100 and holds further Hot 100 records; he has the most top 10 singles (67), most charted songs (293), the most simultaneously charted songs in one week (27), the most Hot 100 debuts in one week (22), and the most continuous time on the Hot 100 (431 weeks). He additionally has the most number-one singles on the R&amp;B/Hip-Hop Airplay, Hot R&amp;B/Hip-Hop Songs, Hot Rap Songs, and Rhythmic Airplay charts. 
</p>"
,,,,,,,
David Bowie,David Robert Jones,1947|1|8,,1962–2016,"* Vocals
* guitar
* keyboards
* saxophone
* harmonica",David Bowie,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">



</p>
<p><b>David Robert Jones</b> (8 January 1947 – 10 January 2016), known professionally as <b>David Bowie</b> (<span></span> <i title=""English pronunciation respelling""><span>BOH</span>-ee</i>), was an English singer-songwriter and actor. A leading figure in the music industry, he is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music.
</p><p>Bowie developed an interest in music from an early age. He studied art, music and design before embarking on a professional career as a musician in 1963. ""Space Oddity"", released in 1969, was his first top-five entry on the UK Singles Chart. After a period of experimentation, he re-emerged in 1972 during the glam rock era with his flamboyant and androgynous alter ego Ziggy Stardust. The character was spearheaded by the success of Bowie's single ""Starman"" and album <i>The Rise and Fall of Ziggy Stardust and the Spiders from Mars</i>, which won him widespread popularity. In 1975, Bowie's style shifted towards a sound he characterised as ""plastic soul"", initially alienating many of his UK fans but garnering him his first major US crossover success with the number-one single ""Fame"" and the album <i>Young Americans</i>. In 1976, Bowie starred in the cult film <i>The Man Who Fell to Earth</i> and released <i>Station to Station</i>. In 1977, he again changed direction with the electronic-inflected album <i>Low</i>, the first of three collaborations with Brian Eno that came to be known as the ""Berlin Trilogy"". <i>""Heroes""</i> (1977) and <i>Lodger</i> (1979) followed; each album reached the UK top five and received lasting critical praise.
</p><p>After uneven commercial success in the late 1970s, Bowie had three number-one hits: the 1980 single ""Ashes to Ashes"", its album <i>Scary Monsters (and Super Creeps)</i>, and ""Under Pressure"" (a 1981 collaboration with Queen). He achieved massive commercial success in the 1980s with <i>Let's Dance</i> (1983). Between 1988 and 1992, he fronted the hard rock band Tin Machine before resuming his solo career in 1993. Throughout the 1990s and 2000s, Bowie continued to experiment with musical styles, including industrial and jungle. He also continued acting; his roles included Major Jack Celliers in <i>Merry Christmas, Mr. Lawrence</i> (1983), Jareth the Goblin King in <i>Labyrinth</i> (1986), Pontius Pilate in <i>The Last Temptation of Christ</i> (1988), and Nikola Tesla in <i>The Prestige</i> (2006), among other film and television appearances and cameos. He stopped touring after 2004 and his last live performance was at a charity event in 2006. In 2013, Bowie returned from a decade-long recording hiatus with <i>The Next Day</i>. He remained musically active until his death from liver cancer at his home in New York City. He died two days after both his 69th birthday and the release of his final album, <i>Blackstar</i> (2016).
</p><p>During his lifetime, his record sales, estimated at over 100 million records worldwide, made him one of the best-selling musicians of all time. In the UK, he was awarded ten platinum, eleven gold and eight silver album certifications, and released 11 number-one albums. In the US, he received five platinum and nine gold certifications. He was inducted into the Rock and Roll Hall of Fame in 1996. <i>Rolling Stone</i> ranked him among the greatest artists in history. As of 2022, Bowie was the best-selling vinyl artist of the 21st century.
</p>"
,,,,,,,
Britney Spears,Britney Jean Spears,1981|12|2,McComb,1992–present,,Britney Spears,"<p class=""mw-empty-elt"">


</p>
<p><b>Britney Jean Spears</b> (born December 2, 1981) is an American singer. Often referred to as the ""Princess of Pop"", she is credited with influencing the revival of teen pop during the late 1990s and early 2000s. After appearing in stage productions and television series, Spears signed with Jive Records in 1997 at age fifteen. Her first two studio albums, <i>...Baby One More Time</i> (1999) and <i>Oops!... I Did It Again</i> (2000), are among the best-selling albums of all time and made Spears the best-selling teenage artist of all time. With first-week sales of over 1.3 million copies, <i>Oops!... I Did It Again</i> held the record for the fastest-selling album by a female artist in the United States for fifteen years. Spears adopted a more mature and provocative style for her albums <i>Britney</i> (2001) and <i>In the Zone</i> (2003), and starred in the 2002 film <i>Crossroads</i>.
</p><p>Spears was executive producer of her fifth studio album <i>Blackout</i> (2007), often referred to as her best work. Following a series of highly publicized personal problems, promotion for the album was limited, and Spears was involuntarily placed in a conservatorship. Since then, she released the chart-topping albums, <i>Circus</i> (2008) and <i>Femme Fatale</i> (2011), the latter of which became her most successful era of singles in the US charts. She embarked on a four-year concert residency, Britney: Piece of Me, at Planet Hollywood Resort &amp; Casino in Las Vegas to promote her next two albums <i>Britney Jean</i> (2013) and <i>Glory</i> (2016). In 2019, Spears's legal battle over her conservatorship became more publicized and led to the establishment of the #FreeBritney movement. In 2021, the conservatorship was terminated following her public testimony in which she accused her management team and family of abuse.</p><p>Regarded as a pop icon, Spears has sold over 100 million records worldwide, including over 70 million in the United States, making her one of the world's best-selling music artists. She has achieved six number-one albums on the <i>Billboard</i> 200 and four number-one singles on the US <i>Billboard</i> Hot 100: ""...Baby One More Time"", ""Womanizer"", ""3"", and ""Hold It Against Me"". The ""S&amp;M"" remix also topped the <i>Billboard</i> chart. Her singles ""Oops!... I Did It Again"", ""Toxic"", and ""Scream &amp; Shout"" topped the charts in most countries. With ""3"" in 2009 and ""Hold It Against Me"" in 2011, Spears became the second artist after Mariah Carey in the Hot 100's history to debut at number one with two or more songs. Her heavily choreographed videos earned her the Michael Jackson Video Vanguard Award. She has earned numerous other awards and accolades, including a Grammy Award, 15 <i>Guinness World Records</i>, six MTV Video Music Awards, seven <i>Billboard</i> Music Awards (including the Millennium Award), the inaugural Radio Disney Icon Award, and a star on the Hollywood Walk of Fame.
</p><p>Spears was ranked by <i>Billboard</i> as the eighth-biggest artist of the 2000s. In the United States, she is the fourth best-selling female album artist of the Nielsen SoundScan era as well as the best-selling female album artist of the 2000s. ""...Baby One More Time"" was named the greatest debut single of all time by <i>Rolling Stone</i> in 2020. In 2004, Spears launched a perfume brand with Elizabeth Arden, Inc.; sales exceeded $1.5 billion as of 2012. <i>Forbes</i> has reported Spears as the highest-earning female musician of 2001 and 2012. By 2012, she had topped Yahoo!'s list of most searched celebrities seven times in twelve years. <i>Time</i> named Spears one of the 100 most influential people in the world in 2021, while also winning the reader poll by receiving the highest number of votes.</p>"
,,,,,,,
JAY-Z,Shawn Corey Carter,1969|12|4,New York City,,,Jay-Z,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>
<p><b>Shawn Corey Carter</b> (born December 4, 1969), known professionally as <b>Jay-Z</b>, is an American rapper, record producer, entrepreneur, and founder of Manhattan-based conglomerate talent and entertainment agency Roc Nation. He is regarded as one of the greatest rappers of all time.  He was the CEO of Def Jam Recordings and he has been central to the creative and commercial success of artists including Kanye West, Rihanna, and J. Cole.</p><p>Born and raised in New York City, Jay-Z first began his musical career in the late 1980s; he co-founded the record label Roc-A-Fella Records in 1995 and released his debut studio album <i>Reasonable Doubt</i> in 1996. The album was released to widespread critical success, and solidified his standing in the music industry. He went on to release twelve additional albums, including the acclaimed albums <i>The Blueprint</i> (2001), <i>The Black Album</i> (2003), <i>American Gangster</i> (2007), and <i>4:44</i> (2017). He also released the full-length collaborative albums <i>Watch the Throne</i> (2011) with Kanye West and <i>Everything Is Love</i> (2018) with his wife Beyoncé.</p><p>Through his business ventures Jay-Z has become the first hip-hop billionaire. In 1999, he founded the clothing retailer Rocawear, and in 2003, he founded the luxury sports bar chain 40/40 Club. Both businesses have grown to become multi-million-dollar corporations, and allowed him to start up Roc Nation in 2008. In 2015, he acquired the tech company Aspiro and took charge of their media streaming service Tidal. In 2020, he launched ""Monogram"", a line of cannabis products.</p><p>One of the world's best-selling music artists, with over 140 million records sold, Jay-Z has won 24 Grammy Awards, the joint-most Grammy awards of any rapper along with Kanye West. Jay-Z also holds the record for the most number-one albums by a solo artist on the <i>Billboard</i> 200 (14). Additionally, he is a recipient of the NAACP's President's Award, a Primetime Emmy Award, and a Sports Emmy Award; and has also received a nomination for a Tony Award. Ranked by <i>Billboard</i> and <i>Rolling Stone</i> as one of the 100 Greatest Artists of All Time, Jay-Z was the first rapper honored in the Songwriters Hall of Fame, and the first solo living rapper inducted in the Rock and Roll Hall of Fame. In 2013, <i>Time</i> named him one of the 100 most influential people in the world.</p>


"
,,,,,,,
Madonna,Madonna Louise Ciccone,1958|8|16,Bay City,1979–present,,Madonna,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096""> 
<p class=""mw-empty-elt""> 



</p>
<p><b>Madonna Louise Ciccone</b> (<span></span>; <small>Italian: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""it-Latn-fonipa"">[tʃikˈkoːne]</span>; born August 16, 1958) is an American singer, songwriter and actress.  Dubbed the ""Queen of Pop"", Madonna has been noted for her continual reinvention and versatility in music production, songwriting, and visual presentation. She has pushed the boundaries of artistic expression in mainstream music, while continuing to maintain control over every aspect of her career. Her works, which incorporate social, political, sexual, and religious themes, have generated both controversy and critical acclaim. A prominent cultural figure crossing both the 20th and 21st centuries, Madonna remains one of the most ""well-documented figures of the modern age"", with a broad amount of scholarly reviews and literature works on her, as well as an academic mini subdiscipline devoted to her named Madonna studies.
</p><p>Madonna moved to New York City in 1978 to pursue a career in modern dance. After performing as a drummer, guitarist, and vocalist in the rock bands Breakfast Club and Emmy, she rose to solo stardom with her debut studio album, <i>Madonna</i> (1983). She followed it with a series of successful albums, including all-time bestsellers <i>Like a Virgin</i> (1984), <i>True Blue</i> (1986) and <i>The Immaculate Collection</i> (1990), as well as Grammy Award winners <i>Ray of Light</i> (1998) and <i>Confessions on a Dance Floor</i> (2005). Madonna has amassed many chart-topping singles throughout her career, including ""Like a Virgin"", ""La Isla Bonita"", ""Like a Prayer"", ""Vogue"", ""Take a Bow"", ""Frozen"", ""Music"", ""Hung Up"", and ""4 Minutes"".
</p><p>Madonna's popularity was enhanced by roles in films such as <i>Desperately Seeking Susan</i> (1985), <i>Dick Tracy</i> (1990), <i>A League of Their Own</i> (1992), and <i>Evita</i> (1996). While <i>Evita</i> won her a Golden Globe Award for Best Actress, many of her other films were not as well received. As a businesswoman, Madonna founded the company Maverick in 1992. It included Maverick Records, one of the most successful artist-run labels in history. Her other ventures include fashion brands, written works, health clubs, and filmmaking. She contributes to various charities, having founded the Ray of Light Foundation in 1998 and Raising Malawi in 2006.
</p><p>With sales of over 300 million records worldwide, Madonna is the best-selling female recording artist of all time. She is the most successful solo artist in the history of the U.S. <i>Billboard</i> Hot 100 chart and has achieved the most number-one singles by a woman in Australia, Canada, Italy, Spain, and the United Kingdom. With a revenue of over U.S. $1.5 billion from her concert tickets, she remains the highest-grossing female touring artist worldwide. <i>Forbes</i> has named Madonna the annual top-earning female musician a record 11 times across four decades (1980s–2010s). She was inducted into the Rock and Roll Hall of Fame in 2008, her first year of eligibility. Madonna was ranked as the greatest woman in music by VH1, and as the greatest music video artist ever by MTV and <i>Billboard</i>. <i>Rolling Stone</i> also listed her among its greatest artists and greatest songwriters of all time.
</p>


"
,,,,,,,
Beck,,1970|7|8,Los Angeles,1988–present,"* Vocals
* guitar
* bass guitar
* keyboards",Beck,"<p class=""mw-empty-elt"">

</p>
<p><b>Beck David Hansen</b> (born <b>Bek David Campbell</b>; July 8, 1970), known mononymously as <b>Beck</b>, is an American musician, singer, songwriter, and record producer. He rose to fame in the early 1990s with his experimental and lo-fi style, and became known for creating musical collages of wide-ranging genres. He has musically encompassed folk, funk, soul, hip hop, electronic, alternative rock, country, and psychedelia. He has released 14 studio albums (three of which were released on indie labels), as well as several non-album singles and a book of sheet music.
</p><p>Born and raised in Los Angeles, Beck grew towards hip hop and folk in his teens and began to perform locally at coffeehouses and clubs. He moved to New York City in 1989 and became involved in the city's anti-folk movement. Returning to Los Angeles in the early 1990s, he cut his breakthrough single ""Loser"", which became a worldwide hit in 1994, and released his first major album, <i>Mellow Gold</i>, the same year. <i>Odelay</i>, released in 1996, topped critic polls and won several awards. He released the country-influenced, twangy <i>Mutations</i> in 1998, and the funk-infused <i>Midnite Vultures</i> in 1999. The soft-acoustic <i>Sea Change</i> in 2002 showcased a more serious Beck, and 2005's <i>Guero</i> returned to <i>Odelay</i><span>'</span>s sample-based production. <i>The Information</i> in 2006 was inspired by electro-funk, hip hop, and psychedelia; 2008's <i>Modern Guilt</i> was inspired by '60s pop music; and 2014's folk-infused <i>Morning Phase</i> won Album of the Year at the 57th Grammy Awards. His 2017 album, <i>Colors</i>, won awards for Best Alternative Album and Best Engineered Album at the 61st Annual Grammy Awards. His fourteenth studio album, <i>Hyperspace</i>, was released on November 22, 2019.
</p><p>With a pop art collage of musical styles, oblique and ironic lyrics, and postmodern arrangements incorporating samples, drum machines, live instrumentation and sound effects, Beck has been hailed by critics and the public throughout his musical career as being among the most idiosyncratically creative musicians of 1990s and 2000s alternative rock. Two of Beck's most popular and acclaimed recordings are <i>Odelay</i> and <i>Sea Change</i>, both of which were ranked on <i>Rolling Stone</i><span>'s</span> list of the 500 greatest albums of all time. Beck is a four-time platinum artist; he has collaborated with several artists and has made several contributions to soundtracks.
</p>


"
